memory,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
0.18,0.7569,0.0014263587588592484,9.481374637009198e-05,0.02098041375242454,6.977980336446687e-15,1.1479250216029764e-14,6.614388816739563e-12,0.003713484973343968,0.947313100302251,0.9944333345492551
0.19,0.7569,0.0014266102688681578,9.4774223289514e-05,0.02097922213651741,4.425547225338013e-15,4.790701099516264e-13,4.9841133697076835e-14,0.0037134652253497345,0.9473227889391465,0.9944351630160156
0.2,0.7569,0.001428037455292067,9.565066892250844e-05,0.020957366084811597,0.0,0.0,1.6843742709828698e-20,0.0037118435322568482,0.947566667632761,0.9944842827279536
0.21,0.7569,0.0014261766811499875,9.494605178411693e-05,0.020980707319326993,2.351650563064466e-13,1.0191658705894122e-12,7.360572888601021e-14,0.0037134871155485322,0.9473101198224252,0.9944336540221198
0.22,0.7569,0.0014256730240457102,9.350641938999602e-05,0.020989680993044886,1.798181515093396e-14,8.662938853088942e-13,1.2110429662012427e-14,0.003713363480826148,0.9472513148648889,0.9944235924602679
0.23,0.7569,0.0014265467082380725,9.495657771613184e-05,0.02097849669777375,0.0,6.067976552970224e-14,4.540307506790332e-14,0.0037134748367729812,0.9473320694347309,0.9944315749743656
0.24,0.7569,0.0014261713817188084,9.519047148781726e-05,0.020980955157948983,3.909215390512824e-18,2.3516010587275514e-18,1.3606066431578371e-18,0.003713665138354028,0.9472908233149688,0.9944392324494535
0.25,0.7569,0.0014234931584020988,9.502246722684485e-05,0.02098277838045641,0.0,0.0,2.159576044565549e-13,0.0037118850318949956,0.947399758629962,0.9944309238517597
0.26,0.7569,0.0014264616377373791,9.487900546254465e-05,0.02097912614839539,7.652902615928594e-17,2.99758249946276e-17,3.5591236946682436e-16,0.003713429138781226,0.9473275323576063,0.9944336191130227
0.27,0.7569,0.001426444384720424,9.493226442888621e-05,0.020979960823045946,0.0,0.0,0.0,0.0037135789233238344,0.9473119814507293,0.9944322453257098
0.28,0.7569,0.001426329761167665,9.492705029400467e-05,0.02097994936541835,3.1103558160951383e-12,0.0,6.839032257276195e-13,0.003713482695013297,0.9473172497032174,0.9944333224751148
0.29,0.7569,0.0014259594481262116,9.490321558272236e-05,0.02098336922948389,4.9826694458431895e-12,5.030934075106279e-12,1.1805957886386953e-14,0.0037136821375317094,0.9472777125028268,0.9944304812474535
weight is ,0.5
0.0,0.8425,0.0013366098647836341,7.024108846233087e-05,0.020321076638491593,0.0,0.0,0.0,0.007893230423934316,0.8317915452944851,0.9686066418622756
0.01,0.8375,0.0013365210835427682,7.021155879105372e-05,0.020320985921695248,3.435793976615068e-12,4.082984095348555e-12,0.0,0.007893755617843473,0.8317840951463549,0.9686058272390683
0.02,0.8325,0.001336431309036801,7.01884807785031e-05,0.02032177772246084,0.0,3.008270462557606e-12,3.739309099056897e-14,0.007893121145145399,0.831791245462929,0.9686067773538483
0.03,0.8276,0.0014108705625887551,7.715447647116455e-05,0.020732502842913295,1.9548731357510738e-20,8.106105305223654e-21,4.1165801236559e-21,0.00748680856101924,0.8342168852160473,0.9689559791587168
0.04,0.823,0.0015103434734227525,8.915804261666871e-05,0.021307605602815125,5.793407508662273e-10,1.9207508522576625e-10,5.459122155061245e-11,0.006926906688009515,0.8375454861952056,0.9693223137016287
0.05,0.8188,0.0016221410474613431,0.00010173529260227222,0.021831540201230685,3.274368824186934e-11,1.660013863672695e-11,6.761614952946752e-20,0.006390275619136114,0.840605008877636,0.9697579209968673
0.06,0.8148,0.001731048218953473,0.0001153900185661463,0.02233611569782623,5.234582967744407e-12,4.695629731494584e-12,0.0,0.00586798587487765,0.8436491472556873,0.9701191460916222
0.07,0.8111,0.0018434803033201682,0.00013033366456894358,0.022832477293492782,1.2688417160926977e-12,3.102910816060937e-13,7.623191223146461e-12,0.005366872313076678,0.8462510355988516,0.9704158223924387
0.08,0.8078,0.0019583922947397064,0.00014569060435869554,0.0232999903717379,1.738145321830124e-13,6.470209609468136e-14,2.909784821178756e-13,0.004881952646987267,0.8487730441089347,0.9706778692168426
