w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.42,0.326,0.002930917664257975,0.0004078372491511389,0.045722080547979806,0.0004316090882148867,0.0005486511897562819,2.7405525504135073e-05,0.026596381731148398,9.209387355635238e-08,1.9068023420946896e-07,9.18365106386488e-12,0.007124908127998351
0.44,0.331,0.003153381227051895,0.0004576436344871292,0.044858114006899125,0.0004888984400072068,0.0006000106137861509,3.8705421559340824e-05,0.026558864355204218,3.38725730768733e-07,5.597508450925678e-08,1.2278239633708601e-09,0.007154348661449168
0.46,0.3357,0.00322813343900083,0.0003772902772013493,0.044698312869640155,0.0004582683174564887,0.0006175867162325809,3.942297186626597e-05,0.026649654938505473,1.6237672023375924e-06,4.2703986046668637e-07,2.243015540205121e-09,0.007145813995687903
0.48,0.3403,0.0036158711323845028,0.0005764365809209316,0.04284423528442313,0.0005129535433926594,0.0007233224980800038,4.480464079618004e-05,0.02661831103217382,1.5666209659751385e-06,7.029320716616212e-07,3.830206117598691e-17,0.007203869676142272
0.5,0.3447,0.003923256152329965,0.00040211550153442844,0.04210266433722572,0.0005879416245855182,0.0006678144512300917,3.9441994550542166e-05,0.026844937192795917,9.708333179218795e-07,2.7188385699661773e-07,1.510791973371341e-25,0.007191990323666069
0.52,0.3491,0.004296715126586261,0.0004144339508461319,0.04082653568541151,0.0007516395067700976,0.000773438899079607,6.394243368344612e-05,0.02649157675222361,8.399050281113337e-06,2.929786809439231e-06,5.8268780919541224e-08,0.007262158502087709
0.54,0.3533,0.004680739626280614,0.00040434256297028587,0.03928246071748165,0.0007929805130873963,0.0007466571038306201,4.887108337369207e-05,0.02679437545804835,4.195835623354721e-07,1.7259983002426153e-07,3.7817145174570316e-13,0.007271331904342781
0.56,0.3573,0.0046275500956677925,0.0004574508554592726,0.038781986519800214,0.000736697034334471,0.000840168066212412,5.31885351579477e-05,0.02654992439129003,2.655303551435382e-06,1.7550490921331844e-06,2.7465515715006036e-09,0.007241641821804185
0.58,0.3614,0.005354869224353595,0.00041192363089775577,0.036239223981659,0.0007877406921056252,0.0007918345085379932,4.491538172901937e-05,0.027048481885348787,1.0497396359529873e-05,5.278281653435931e-06,1.310210720144651e-07,0.007181457099013108
0.6,0.3651,0.004959236843798045,0.00036480944226413407,0.03683090074664043,0.000701690834564652,0.0007920018326091898,4.115895914646608e-05,0.02692168732749395,1.111220650603192e-06,9.252617366840616e-07,1.8490764392269255e-11,0.007157652721033499
0.62,0.3689,0.005037734155779784,0.0005581542694167244,0.035410195058449175,0.0007423929020780218,0.0007886845526802099,3.1171163860256964e-05,0.02703987667981512,6.096814131350967e-07,8.508981171419628e-08,7.416939035369544e-10,0.0071367758766247725
0.64,0.3726,0.005616176654705391,0.00039619563193214557,0.03348703645137305,0.0007322166425752143,0.0008493246137486196,4.692843363987768e-05,0.027010828770636517,4.915641928138838e-13,1.7671440004849481e-15,8.611056562862934e-15,0.007135964828853022
0.66,0.3762,0.005802427219695192,0.0004405259644440282,0.0322532328604282,0.0009213794031476682,0.0008623860213542793,3.422431000040508e-05,0.026851188911925745,1.8268421993436739e-13,5.5616274687735975e-08,1.2189464817914754e-08,0.007177386230118806
0.68,0.3797,0.00602634814413959,0.00032667308547489846,0.03119028339933074,0.0008745702814663386,0.0009635189895215375,3.1477041372466024e-05,0.026596520456498036,3.2062736581923515e-06,1.5843924239261619e-06,5.507140612382947e-18,0.007142455139714154
0.7,0.3831,0.006603057068883671,0.00039410919607241543,0.028345742053308923,0.0008970689592809456,0.0008721170872587248,5.2828581477311223e-05,0.027103691008756967,1.6218862217456887e-11,1.4860403934560266e-12,8.597035261806562e-11,0.007103684428278485
0.72,0.3864,0.0064881689079615175,0.0003704438656239102,0.027844963567040196,0.000859736604732484,0.000876413525779253,3.9817232596772106e-05,0.02705011822344978,1.9530427837064446e-06,2.8693327837896886e-07,7.822066228466739e-14,0.007029728356452393
0.74,0.3897,0.006837642749178875,0.0002919288392596264,0.026355640882898698,0.0009548938444673286,0.0009863338044400348,4.542932488004128e-05,0.02660172893629312,7.303185305132864e-07,2.6750821617590977e-07,4.241838494040107e-21,0.007077615346767222
0.76,0.3929,0.0072063369726421255,0.00024728381899279394,0.024242980504046416,0.0008744867899060558,0.0009287816603122509,4.1077158134376416e-05,0.027043713768363436,2.939129560730599e-09,2.289219350310978e-09,3.581295147828678e-09,0.006981906524033444
0.78,0.3961,0.007411989998612424,0.00029598660763525026,0.02263271165761601,0.0009546944111788566,0.0009732417048968361,3.9943949396216544e-05,0.026837312583405583,6.571731586042072e-07,2.5598718780390745e-07,4.4213324836188683e-10,0.00697805140672864
