w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2,tbar_3,o_3,z2_3,z1_3,tbar_4,o_4,z2_4,z1_4
0.68,0.3421,0.017723482559035008,0.003347467043017309,0.058685624577098285,0.003938820608423019,0.006787852794759018,0.0013888877947588402,0.0752526721991737,0.00180970719898526,0.0025549933958953865,0.00027241097234689224,0.05315326382113722,0.000525534920061258,0.0005455371569594352,3.434189243292625e-05,0.0274633989004517,4.881571932923662e-07,2.799680609722392e-07,4.5676284102820584e-08,0.007110134671017306
0.7,0.3431,0.01810876445012978,0.002401330681506304,0.0579390835671,0.0036772774716171967,0.006451947639719516,0.0011549800701032972,0.07546855202823172,0.0017438097290048992,0.0024783756205886166,0.00028026294702003746,0.051347757552285385,0.0004845512585560992,0.0004520889772339444,1.6972292359343965e-05,0.026748799770902883,1.7067898070876323e-07,1.9278996523663244e-07,2.5524344935435105e-10,0.0063179705052676585
0.72,0.3441,0.019880087147014697,0.002725385328397145,0.05328019489032553,0.004766983569601064,0.007062993992780563,0.001448100139543299,0.07417929745991202,0.00210886418661159,0.0026668832692651676,0.00032302297066961745,0.05303477374381311,0.0006349176485770276,0.0005874766118108936,3.8864822092002016e-05,0.027454755142441053,3.87730069251838e-06,7.913663015716255e-07,6.693973591295604e-10,0.007164749712025617
0.74,0.3451,0.020025475810433045,0.002772334612573818,0.050968328507586314,0.004222323423024089,0.007200405134702011,0.0014031284711231102,0.0738681193006673,0.00200874195546278,0.0026957830566037497,0.0003162839449549322,0.052089023794983876,0.0005798167379847368,0.0005533847609439576,3.3139738815395184e-05,0.027172112882995394,5.7531982274868625e-06,3.4378886221732654e-06,4.4519173971722446e-08,0.0067973406962646395
0.76,0.3462,0.021598382918914288,0.0025532862459756197,0.045885582235357665,0.004564419145138923,0.007683263018513221,0.0015918915979684471,0.07172500086443628,0.0023246692938259416,0.0028682608307823653,0.000364031148950293,0.051196160077040254,0.0007100912919087642,0.0005420874458580011,4.986242575255255e-05,0.026911583490047276,1.4729280587663764e-05,5.495568135925573e-06,5.810920528926419e-14,0.006569530417213681
0.78,0.3471,0.022101024275417342,0.002198865795137345,0.04573125332354671,0.004656638658109044,0.007557504818131549,0.0015226579215221394,0.07289295578286639,0.002059412943837587,0.0027493867668564524,0.0003756550357109458,0.05263958974063492,0.00045240389045800777,0.00045155127178863464,1.5929200240259083e-05,0.02842786540822984,2.090703519584484e-06,5.748664157559103e-06,7.320346007945054e-08,0.00701069299116835
0.8,0.348,0.02357456387217618,0.0020756361892096714,0.040709774207125744,0.004814955254660333,0.007825830478388867,0.00157025057515896,0.07270583440311297,0.002284911572728161,0.002752180045139583,0.0003229315044687742,0.05285864324724263,0.0006106744010438785,0.0005769698329824136,2.3549503183132755e-05,0.027705826416670822,1.631013591162126e-05,1.276386501174838e-05,9.21460794462671e-08,0.007000170432996004
0.82,0.3491,0.02459394120429629,0.0025101510274349553,0.0357195833125561,0.005371130278292382,0.008005716379490458,0.0015806065464175742,0.07244825289570624,0.0024297842555902013,0.002884018905644957,0.00035081152240957255,0.05267190929041446,0.0006646533251167482,0.000668867930977045,2.9747853611966656e-05,0.027458129042331473,2.282881065053593e-05,2.4375272224231123e-06,3.4796553495934896e-08,0.007075987044514736
0.84,0.35,0.025528232836078257,0.002215417436899211,0.03255436211123575,0.00523107562832062,0.007960076210698677,0.0015589505861629497,0.073060709124039,0.0022973863682447405,0.0027339370354414194,0.00033629213930769133,0.05315331541987413,0.0005638225415030176,0.0005141662613428848,2.260326262641931e-05,0.028070583668196272,5.02826946489768e-06,2.7159155021548637e-06,5.4913106397055546e-08,0.007031889076905807
0.86,0.3509,0.027143746266080546,0.0018447898350513036,0.028716599875152078,0.005785359987729172,0.008006468863354054,0.0018926472570659028,0.07227442417795281,0.0025562722238035205,0.002969519550126365,0.0003831486320122899,0.05266139855159284,0.0007211171159855914,0.0006464357392191804,3.165587684344259e-05,0.027696156683346778,7.029152202845912e-07,1.845160033434576e-07,1.5596281190902628e-08,0.007204701116002989
0.88,0.3519,0.02860748012799499,0.001699794099133727,0.02355900466283724,0.005586350777457046,0.008532775164022491,0.001754124242371568,0.07214792802967497,0.002581425224141928,0.002972595155429401,0.000382962913999529,0.05269557222912519,0.0007202846530340006,0.0006447857746826589,4.284379970957625e-05,0.02769051642922037,1.6535048760317314e-05,1.3705522774599847e-06,7.525751209241147e-08,0.00715835085295309
0.9,0.3529,0.02956592645246852,0.0013032436850537426,0.021342178853388377,0.0059640353786158794,0.008806573561702844,0.0017188915293422028,0.07093840898775819,0.0026917522360446074,0.0031081186137374927,0.00033949665818898997,0.052562091183750013,0.0007918174980483106,0.0007188157006020395,4.9663188099653273e-05,0.027307804273526342,7.621260973141586e-06,4.14887917161131e-06,1.6722061198785483e-07,0.007135407483799708
0.92,0.3538,0.031017434567264482,0.0011408135377026193,0.016708963081488906,0.006501019801409525,0.008931755375871573,0.0018805370746776543,0.07000856399058727,0.0027801178841109853,0.002984512377666843,0.00038086729997435933,0.053291843652859563,0.0007525080692940131,0.0006330259832968203,2.645819336000565e-05,0.027841129216202815,1.334376371760263e-05,4.108621916629715e-06,3.004238882109766e-09,0.007121660882943931
0.94,0.3548,0.03229733216793835,0.0008409057749886093,0.011886150216142694,0.0062156577516703105,0.008697208213755001,0.0017958138569202785,0.07187347977501184,0.002682767601961847,0.0031423105248829858,0.0003110988408686618,0.05221284364238704,0.000688188846111322,0.0005644659070719274,9.74088390150672e-06,0.02799941811238552,1.5730052616194046e-06,5.586592035025298e-07,1.3304966863655947e-06,0.006930376348003258
0.96,0.3557,0.03355424627730619,0.0005949998812643136,0.008577878422735597,0.006426252696237278,0.009058137717687318,0.0017990235810686388,0.07132329976328787,0.002777330122036793,0.0030388811169749907,0.0003525270516514195,0.05304945520238293,0.0007318624258485229,0.0006696634563242244,3.644805522841513e-05,0.027701121260350115,1.0494434770356405e-06,4.98740555484976e-07,7.423110414972335e-08,0.007146853700900007
0.98,0.3567,0.035123989556176766,0.0003884015837256426,0.0036471669921330882,0.006589095167369379,0.00917892587247385,0.0017852645645488364,0.07185199187069925,0.0028665805460225896,0.0032453836075755456,0.0003372167611718474,0.05234458274127332,0.0007167758598186583,0.0006185836538176445,3.057646805782016e-05,0.028116385653556262,8.023641789323107e-07,2.2191740060134086e-07,2.0423850502512526e-08,0.007129682817866682
1.0,0.3576,0.03636206679794041,1.62393603503685e-14,3.6940197923095355e-15,0.006764306348937683,0.009232302431628968,0.0017955611392213677,0.07176464696472841,0.0027187414331689094,0.0030993000997789873,0.00032911884095319043,0.05328893851754604,0.0007036059439590937,0.0006105511197892067,2.2397108222350673e-05,0.028063100891689854,1.8952273231116677e-09,2.6823562579655124e-08,5.112276450398995e-09,0.007146081576179154
